B2I2|Bat	B2I1|Bat	96.880	1250	33	6	15	1259	17	1265	0.0	2087
B2I2|Bat	B1I1|Bat	95.021	1165	48	10	6	1163	6	1167	0.0	1821
B2I2|Bat	B6I1|Bat	93.862	391	18	6	871	1259	232	618	9.04e-170	584
B2I2|Bat	B6I1|Bat	92.623	122	4	4	1002	1119	123	243	3.00e-45	171
B2I2|Bat	B5I1|Bat	93.862	391	18	6	871	1259	232	618	9.04e-170	584
B2I2|Bat	B5I1|Bat	92.623	122	4	4	1002	1119	123	243	3.00e-45	171
B2I2|Bat	B4I1|Bat	93.862	391	18	6	871	1259	232	618	9.04e-170	584
B2I2|Bat	B4I1|Bat	92.623	122	4	4	1002	1119	123	243	3.00e-45	171
B2I2|Bat	B7I1|Bat	93.367	392	19	7	871	1259	232	619	1.96e-166	573
B2I2|Bat	B7I1|Bat	92.063	126	5	4	1002	1123	123	247	8.34e-46	172
B3I1|Bat	B3I1|Bat	100.000	1147	0	0	1	1147	1	1147	0.0	2119
B3I1|Bat	B1I1|Bat	81.799	967	151	24	5	956	8	964	0.0	787
B4I1|Bat	B6I1|Bat	100.000	619	0	0	1	619	1	619	0.0	1144
B4I1|Bat	B6I1|Bat	92.500	120	4	4	363	478	124	242	1.87e-44	167
B4I1|Bat	B6I1|Bat	92.500	120	4	4	124	242	363	478	1.87e-44	167
B4I1|Bat	B5I1|Bat	100.000	619	0	0	1	619	1	619	0.0	1144
B4I1|Bat	B5I1|Bat	92.500	120	4	4	363	478	124	242	1.87e-44	167
B4I1|Bat	B5I1|Bat	92.500	120	4	4	124	242	363	478	1.87e-44	167
B4I1|Bat	B4I1|Bat	100.000	619	0	0	1	619	1	619	0.0	1144
B4I1|Bat	B4I1|Bat	92.500	120	4	4	363	478	124	242	1.87e-44	167
B4I1|Bat	B4I1|Bat	92.500	120	4	4	124	242	363	478	1.87e-44	167
B4I1|Bat	B7I1|Bat	99.677	620	1	1	1	619	1	620	0.0	1133
B4I1|Bat	B7I1|Bat	92.800	125	4	4	363	483	124	247	3.12e-47	176
B4I1|Bat	B7I1|Bat	92.500	120	4	4	124	242	364	479	1.87e-44	167
B4I1|Bat	B2I1|Bat	96.939	392	7	5	232	619	876	1266	0.0	652
B4I1|Bat	B2I1|Bat	92.562	121	4	4	123	242	1007	1123	5.21e-45	169
B4I1|Bat	B2I2|Bat	93.862	391	18	6	232	618	871	1259	4.37e-170	584
B4I1|Bat	B2I2|Bat	92.623	122	4	4	123	243	1002	1119	1.45e-45	171
B4I1|Bat	B1I1|Bat	88.323	334	25	14	232	554	873	1203	3.68e-111	388
B4I1|Bat	B1I1|Bat	93.333	120	4	4	124	242	1005	1121	1.12e-46	174
B5I1|Bat	B6I1|Bat	100.000	619	0	0	1	619	1	619	0.0	1144
B5I1|Bat	B6I1|Bat	92.500	120	4	4	363	478	124	242	1.87e-44	167
B5I1|Bat	B6I1|Bat	92.500	120	4	4	124	242	363	478	1.87e-44	167
B5I1|Bat	B5I1|Bat	100.000	619	0	0	1	619	1	619	0.0	1144
B5I1|Bat	B5I1|Bat	92.500	120	4	4	363	478	124	242	1.87e-44	167
B5I1|Bat	B5I1|Bat	92.500	120	4	4	124	242	363	478	1.87e-44	167
B5I1|Bat	B4I1|Bat	100.000	619	0	0	1	619	1	619	0.0	1144
B5I1|Bat	B4I1|Bat	92.500	120	4	4	363	478	124	242	1.87e-44	167
B5I1|Bat	B4I1|Bat	92.500	120	4	4	124	242	363	478	1.87e-44	167
B5I1|Bat	B7I1|Bat	99.677	620	1	1	1	619	1	620	0.0	1133
B5I1|Bat	B7I1|Bat	92.800	125	4	4	363	483	124	247	3.12e-47	176
B5I1|Bat	B7I1|Bat	92.500	120	4	4	124	242	364	479	1.87e-44	167
B5I1|Bat	B2I1|Bat	96.939	392	7	5	232	619	876	1266	0.0	652
B5I1|Bat	B2I1|Bat	92.562	121	4	4	123	242	1007	1123	5.21e-45	169
B5I1|Bat	B2I2|Bat	93.862	391	18	6	232	618	871	1259	4.37e-170	584
B5I1|Bat	B2I2|Bat	92.623	122	4	4	123	243	1002	1119	1.45e-45	171
B5I1|Bat	B1I1|Bat	88.323	334	25	14	232	554	873	1203	3.68e-111	388
B5I1|Bat	B1I1|Bat	93.333	120	4	4	124	242	1005	1121	1.12e-46	174
B6I1|Bat	B6I1|Bat	100.000	619	0	0	1	619	1	619	0.0	1144
B6I1|Bat	B6I1|Bat	92.500	120	4	4	363	478	124	242	1.87e-44	167
B6I1|Bat	B6I1|Bat	92.500	120	4	4	124	242	363	478	1.87e-44	167
B6I1|Bat	B5I1|Bat	100.000	619	0	0	1	619	1	619	0.0	1144
B6I1|Bat	B5I1|Bat	92.500	120	4	4	363	478	124	242	1.87e-44	167
B6I1|Bat	B5I1|Bat	92.500	120	4	4	124	242	363	478	1.87e-44	167
B6I1|Bat	B4I1|Bat	100.000	619	0	0	1	619	1	619	0.0	1144
B6I1|Bat	B4I1|Bat	92.500	120	4	4	363	478	124	242	1.87e-44	167
B6I1|Bat	B4I1|Bat	92.500	120	4	4	124	242	363	478	1.87e-44	167
B6I1|Bat	B7I1|Bat	99.677	620	1	1	1	619	1	620	0.0	1133
B6I1|Bat	B7I1|Bat	92.800	125	4	4	363	483	124	247	3.12e-47	176
B6I1|Bat	B7I1|Bat	92.500	120	4	4	124	242	364	479	1.87e-44	167
B6I1|Bat	B2I1|Bat	96.939	392	7	5	232	619	876	1266	0.0	652
B6I1|Bat	B2I1|Bat	92.562	121	4	4	123	242	1007	1123	5.21e-45	169
B6I1|Bat	B2I2|Bat	93.862	391	18	6	232	618	871	1259	4.37e-170	584
B6I1|Bat	B2I2|Bat	92.623	122	4	4	123	243	1002	1119	1.45e-45	171
B6I1|Bat	B1I1|Bat	88.323	334	25	14	232	554	873	1203	3.68e-111	388
B6I1|Bat	B1I1|Bat	93.333	120	4	4	124	242	1005	1121	1.12e-46	174
B7I1|Bat	B7I1|Bat	100.000	620	0	0	1	620	1	620	0.0	1146
B7I1|Bat	B7I1|Bat	92.800	125	4	4	364	484	124	247	3.12e-47	176
B7I1|Bat	B7I1|Bat	92.800	125	4	4	124	247	364	484	3.12e-47	176
B7I1|Bat	B6I1|Bat	99.677	620	1	1	1	620	1	619	0.0	1133
B7I1|Bat	B6I1|Bat	92.800	125	4	4	124	247	363	483	3.12e-47	176
B7I1|Bat	B6I1|Bat	92.500	120	4	4	364	479	124	242	1.88e-44	167
B7I1|Bat	B5I1|Bat	99.677	620	1	1	1	620	1	619	0.0	1133
B7I1|Bat	B5I1|Bat	92.800	125	4	4	124	247	363	483	3.12e-47	176
B7I1|Bat	B5I1|Bat	92.500	120	4	4	364	479	124	242	1.88e-44	167
B7I1|Bat	B4I1|Bat	99.677	620	1	1	1	620	1	619	0.0	1133
B7I1|Bat	B4I1|Bat	92.800	125	4	4	124	247	363	483	3.12e-47	176
B7I1|Bat	B4I1|Bat	92.500	120	4	4	364	479	124	242	1.88e-44	167
B7I1|Bat	B2I1|Bat	96.438	393	8	6	232	620	876	1266	0.0	643
B7I1|Bat	B2I1|Bat	92.857	126	4	4	123	247	1007	1128	8.68e-48	178
B7I1|Bat	B2I2|Bat	93.367	392	19	7	232	619	871	1259	9.47e-167	573
B7I1|Bat	B2I2|Bat	92.063	126	5	4	123	247	1002	1123	4.04e-46	172
B7I1|Bat	B1I1|Bat	87.761	335	26	15	232	555	873	1203	7.97e-108	377
B7I1|Bat	B1I1|Bat	93.600	125	4	4	124	247	1005	1126	1.86e-49	183
